18:43:42,E028,carro,L03,ENTREGUE,41.1,R$ 9.38,—,4,11x,"Chuva, Trânsito, Acidente",+33.9s
18:43:43,E014,moto,L02,ENTREGUE,12.4,R$ 9.38,—,2,11x,"Chuva, Trânsito, Acidente",+6.6s
18:43:43,E024,moto,L09,ENTREGUE,15.1,R$ 7.50,R$ 7.50,1,11x,"Trânsito, Acidente",+3.8s
18:43:45,E002,moto,L07,ENTREGUE,10.5,R$ 7.50,R$ 7.50,1,11x,"Trânsito, Acidente",+2.6s
18:43:46,E008,moto,L07,ENTREGUE,12.8,R$ 9.38,—,2,11x,"Chuva, Trânsito, Acidente",+4.5s
18:43:46,E009,moto,L04,ENTREGUE,14.1,R$ 9.38,—,2,11x,"Chuva, Trânsito, Acidente",+6.2s
18:43:46,E027,moto,L05,ENTREGUE,23.5,R$ 9.38,R$ 9.38,1,11x,"Chuva, Trânsito, Acidente",+5.1s
18:43:47,E010,moto,L01,ENTREGUE,20.4,R$ 9.38,R$ 16.88,2,11x,"Chuva, Trânsito, Acidente",+11.0s
18:43:48,E022,moto,L12,ENTREGUE,11.6,R$ 9.38,R$ 9.38,1,11x,"Chuva, Trânsito, Acidente",+1.1s
18:43:48,E011,moto,L10,ENTREGUE,18.6,R$ 7.50,R$ 7.50,1,11x,"Trânsito, Acidente",+4.0s
18:43:49,E018,moto,L05,ENTREGUE,25.3,R$ 7.50,R$ 16.88,2,11x,"Trânsito, Acidente",+8.7s
18:43:49,E014,moto,L07,ENTREGUE,18.2,R$ 7.50,R$ 16.88,2,11x,"Trânsito, Acidente",+5.9s
18:43:49,E015,bike,L01,ENTREGUE,43.8,R$ 4.00,R$ 4.00,1,11x,"Trânsito, Acidente",+5.8s
18:43:50,E005,moto,L08,ENTREGUE,13.4,R$ 7.50,R$ 7.50,1,11x,"Trânsito, Acidente",+1.5s
18:43:50,E028,carro,L04,ENTREGUE,49.4,R$ 9.38,—,4,11x,"Chuva, Acidente",+33.3s
18:43:51,E020,carro,L09,ENTREGUE,73.0,R$ 9.38,—,5,11x,"Chuva, Acidente",+46.5s
18:43:51,E006,carro,L02,ENTREGUE,45.4,R$ 9.38,R$ 18.75,2,11x,"Chuva, Acidente, Machucado",+27.0s
18:43:51,E016,bike,L03,ENTREGUE,29.7,R$ 5.00,R$ 5.00,1,11x,"Chuva, Acidente, Machucado",+21.2s
18:43:52,E023,bike,L04,ENTREGUE,24.9,R$ 5.00,R$ 5.00,1,11x,"Chuva, Trânsito, Acidente",+2.5s
18:43:52,E030,moto,L08,ENTREGUE,17.8,R$ 9.38,R$ 9.38,1,11x,"Chuva, Trânsito, Acidente",+3.4s
18:43:52,E009,moto,L09,ENTREGUE,20.6,R$ 9.38,R$ 18.75,2,11x,"Chuva, Trânsito, Acidente",+6.6s
18:43:53,E021,moto,L08,ENTREGUE,12.5,R$ 7.50,R$ 7.50,1,11x,"Trânsito, Acidente",+0.6s
18:43:53,E026,bike,L04,ENTREGUE,31.1,R$ 4.00,R$ 4.00,1,11x,"Trânsito, Acidente",+12.4s
18:43:54,E024,moto,L10,ENTREGUE,10.7,R$ 7.50,R$ 7.50,1,11x,"Trânsito, Acidente",-0.5s
18:43:54,E008,moto,L03,ENTREGUE,21.4,R$ 7.50,R$ 16.88,2,11x,"Trânsito, Acidente",+10.1s
18:43:55,E020,carro,L02,ENTREGUE,76.6,R$ 7.50,—,5,11x,"Trânsito, Acidente",+38.7s
18:43:55,E002,moto,L04,ENTREGUE,14.1,R$ 9.38,R$ 9.38,1,11x,"Chuva, Acidente",+1.6s
18:43:55,E025,bike,L12,ENTREGUE,23.2,R$ 5.00,R$ 5.00,1,11x,"Chuva, Acidente",+2.0s
18:43:57,E017,carro,L06,ENTREGUE,22.2,R$ 9.38,—,3,11x,"Chuva, Trânsito, Acidente",+15.9s
18:43:58,E005,moto,L03,ENTREGUE,8.4,R$ 7.50,R$ 7.50,1,11x,Acidente,+1.4s
18:43:59,E029,carro,L04,ENTREGUE,27.2,R$ 7.50,—,3,11x,Acidente,+16.6s
18:44:00,E011,moto,L01,ENTREGUE,11.1,R$ 9.38,R$ 9.38,1,11x,"Chuva, Acidente",+5.3s
18:44:01,E014,moto,L04,ENTREGUE,12.0,R$ 9.38,—,2,11x,"Chuva, Trânsito, Acidente",+2.7s
18:44:02,E004,bike,L04,ENTREGUE,24.2,R$ 4.00,R$ 4.00,1,11x,"Trânsito, Acidente",+2.2s
18:44:02,E028,carro,L10,ENTREGUE,61.1,R$ 7.50,—,4,11x,"Trânsito, Acidente",+36.9s
18:44:02,E018,moto,L01,ENTREGUE,13.6,R$ 7.50,—,2,11x,"Trânsito, Acidente",+8.1s
18:44:02,E020,carro,L06,ENTREGUE,84.5,R$ 7.50,R$ 41.25,5,11x,"Trânsito, Acidente",+40.6s
